Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MagneticBuzzer_PUI_AT-0927-TT-6-R,1,Buzzer,C96256
"C11, C16, C18, C21",0603,4,100nF,C15725
"C12, C19, C27",0603,3,1nF,C77438
"C13, C14, C15",0805,3,22µF,C29277
"C17, C20, C28",CP_Elec_6.3x7.7,3,4.7µF,C970653
D1,D_SMB_Handsoldering,1,SMBJ5371B,
"D10, D4, D5, D6, D7, D8, D9",0603,7,LED,C2286
D11,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D2,D_SOD-123F,1,BZT52C3V3,C2112
D3,D_SOD-323_HandSoldering,1,BZT52B5V1S,C78478
F1,Fuseholder_Littelfuse_Nano2_154x,1,0154002.DRT,C206911
FB2,1210,1,FerriteBead,C124094
J1,TE_9-6437287-8,1,9-6437287-8,
"J11, J16","PhoenixContact_MCV_1,5_2-G-5.08_1x02_P5.08mm_Vertical",2,Conn_01x02_Socket,
J2,PinSocket_1x07_P2.54mm_Vertical,1,Conn_01x07_Socket,
"J6, J8",PinSocket_1x03_P2.54mm_Vertical,2,Conn_01x03_Socket,
J7,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,Jumper_2_Open,
L2,L_Coilcraft_XAL1060-XXX,1,16µH,C108291
L3,L_Changjiang_FXL0420,1,10µH,C108291
M1,RFID-RC522,1,~,RFID-RC522
"Q2, Q7",TDSON-8-1,2,CSD18534Q5A,C115943
"Q3, Q5, Q6, Q8, Q9",SOT-23,5,BSS123,C8491
Q4,SOT-23,1,BSS84,C8492
"R10, R16, R2, R3, R4, R5, R7, R9",0603,8,100k,C25803
R11,0603,1,820k,C23252
R12,0603,1,64.9k,C14891
R13,0603,1,115k,C22783
R14,0603,1,"28,7k",C22928
"R15, R17, R18, R19, R20, R22, R23, R24, R25",0603,9,100R,C22775
R21,0603,1,1k,C21190
"R42, R43, R44, R45, R46, R47, R48",0603,7,330,C23138
R6,0603,1,180k,C22807
R8,0603,1,10k,C25804
"TP1, TP3, TP4",TestPoint_Pad_1.5x1.5mm,3,TestPoint,
U1,XIAO-ESP32C6-DIP,1,XIAO ESP32C6,
U2,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,LMR38020,C3192337
