Designator,Mid X,Mid Y,Rotation,Layer
BZ1,-110.85,-1.15,90.0,top
C11,-96.125,-2.2,0.0,top
C12,-116.55,-11.67,270.0,top
C13,-105.8,-11.87,270.0,top
C14,-108.65,-11.87,270.0,top
C15,-111.65,-11.9,270.0,top
C16,-114.25,-11.67,270.0,top
C17,-91.4,48.185,180.0,top
C18,-93.25,43.285,0.0,top
C19,-93.25,33.635,0.0,top
C20,-91.35,28.785,180.0,top
C21,-93.25,23.835,0.0,top
C27,-93.25,41.635,0.0,top
C28,-91.4125,11.535,180.0,top
D1,-85.685,67.05,0.0,top
D10,-154.1,53.278461,0.0,top
D11,-123.0,11.0,0.0,top
D2,-135.5,31.85,270.0,top
D3,-92.05,4.9,180.0,top
D4,-154.1,50.404615,0.0,top
D5,-88.40175,-8.65,270.0,top
D6,-154.1,64.773846,0.0,top
D7,-154.1,61.9,0.0,top
D8,-154.1,59.026154,0.0,top
D9,-154.1,56.152308,0.0,top
F1,-94.1,59.035,270.0,top
FB2,-94.1125,37.835,270.0,top
H1,-165.9,75.4518,0.0,top
H2,-76.5,75.5,0.0,top
H3,-165.9,-17.5,0.0,top
H4,-76.5,-17.5,0.0,top
J1,-156.354,8.95,270.0,top
J11,-106.79,74.9,180.0,top
J16,-91.59,74.9,180.0,top
J2,-77.05,-2.8,0.0,top
J6,-164.7,36.575305,0.0,top
J7,-125.05,74.65,90.0,top
J8,-137.343333,74.65,90.0,top
JP1,-137.3,23.8,180.0,top
JP10,-137.3,20.7175,180.0,top
JP11,-102.07,61.57,270.0,top
JP2,-111.05,25.6415,0.0,top
JP3,-136.8,12.6,270.0,top
JP4,-115.7,14.35,270.0,top
JP5,-140.3,5.55,0.0,top
JP6,-128.86875,2.6375,270.0,top
JP7,-131.4,14.3,90.0,top
JP8,-112.4,14.35,0.0,top
JP9,-136.2,44.1,90.0,top
L2,-98.8,-11.5,180.0,top
L3,-94.1125,18.985,270.0,top
M1,-123.0,44.0,180.0,bottom
Q2,-106.7,61.7,0.0,top
Q3,-132.55625,-1.1125,0.0,top
Q4,-136.6,1.3,90.0,top
Q5,-140.2,8.8,0.0,top
Q6,-110.85,6.0,90.0,top
Q7,-84.25,61.55,270.0,top
Q8,-141.7,24.48,270.0,top
Q9,-135.3825,49.7,0.0,top
R10,-92.04,-1.3,0.0,top
R11,-92.0275,1.6,180.0,top
R12,-101.9,3.0,270.0,top
R13,-98.7,-3.15,90.0,top
R14,-100.45,-3.15,270.0,top
R15,-107.55,8.6,270.0,top
R16,-110.85,9.1,180.0,top
R17,-102.59,57.0775,270.0,top
R18,-135.95,9.6,0.0,top
R19,-136.55,6.0,0.0,top
R2,-105.52,56.1575,180.0,top
R20,-128.16875,-1.1125,270.0,top
R21,-113.95,5.85,90.0,top
R22,-142.6,19.8675,90.0,top
R23,-132.26875,1.6875,0.0,top
R24,-135.345,46.8,0.0,top
R25,-92.0,67.05,270.0,top
R3,-129.71875,-1.1125,90.0,top
R4,-135.95,7.95,0.0,top
R42,-150.115,50.404615,0.0,top
R43,-90.15,-8.65,90.0,top
R44,-150.115,64.773846,0.0,top
R45,-150.115,61.9,0.0,top
R46,-150.115,59.026154,0.0,top
R47,-150.115,56.152307,0.0,top
R48,-150.115,53.278461,0.0,top
R5,-140.75,19.905,90.0,top
R6,-138.9,29.3,90.0,top
R7,-132.0825,49.7,90.0,top
R8,-138.9,37.3625,90.0,top
R9,-136.6,4.3,0.0,top
TP1,-88.9,-5.1,0.0,top
TP3,-138.9,33.25,0.0,top
TP4,-136.55,-3.3,0.0,top
U1,-122.955,28.1815,0.0,top
U2,-97.315,2.975,270.0,top
